DATETIME,C,F
2019-08-29 04:30:01.620359,22.5,72.5
2019-08-29 04:40:01.462043,22.5,72.5
2019-08-29 04:50:02.163928,22.5,72.5
2019-08-29 05:00:01.945619,22.5625,72.6125
2019-08-29 05:10:01.725733,22.5,72.5
2019-08-29 05:20:01.547062,22.5,72.5
2019-08-29 05:30:02.258061,22.5,72.5
2019-08-29 05:40:02.061660,22.5,72.5
2019-08-29 05:50:01.838372,22.5,72.5
2019-08-29 06:00:01.558452,22.5,72.5
2019-08-29 06:10:01.351026,22.4375,72.3875
2019-08-29 06:20:02.160318,22.4375,72.3875
2019-08-29 06:30:01.967145,22.5,72.5
2019-08-29 06:40:01.786724,22.4375,72.3875
2019-08-29 06:50:01.492287,22.4375,72.3875
2019-08-29 07:00:02.267767,22.5,72.5
2019-08-29 07:10:02.072694,22.5,72.5
2019-08-29 07:20:01.903851,22.5,72.5
2019-08-29 07:30:01.724892,22.4375,72.3875
2019-08-29 07:40:01.548518,22.5,72.5
2019-08-29 07:50:02.275333,22.4375,72.3875
2019-08-29 08:00:02.007716,22.4375,72.3875
2019-08-29 08:10:01.815408,22.4375,72.3875
2019-08-29 08:20:01.651869,22.4375,72.3875
2019-08-29 08:30:01.410657,22.5,72.5
2019-08-29 08:40:02.227549,22.4375,72.3875
2019-08-29 08:50:01.941255,22.5,72.5
2019-08-29 09:00:01.740121,22.5625,72.6125
2019-08-29 09:10:01.569026,22.5,72.5
2019-08-29 09:20:01.404354,22.5,72.5
2019-08-29 09:30:02.140344,22.5625,72.6125
2019-08-29 09:40:01.990909,22.625,72.725
2019-08-29 09:50:01.749738,22.625,72.725
2019-08-29 10:00:01.508110,22.625,72.725
2019-08-29 10:10:02.308271,22.625,72.725
2019-08-29 10:20:02.128363,22.625,72.725
2019-08-29 10:30:01.898688,22.6875,72.8375
2019-08-29 10:40:01.728039,22.625,72.725
2019-08-29 10:50:01.484567,22.625,72.725
2019-08-29 11:00:02.272528,22.6875,72.8375
2019-08-29 11:10:02.051805,22.6875,72.8375
2019-08-29 11:20:01.916693,22.75,72.95
2019-08-29 11:30:01.686683,22.5625,72.6125
2019-08-29 11:40:01.527818,22.4375,72.3875
2019-08-29 11:50:02.272819,22.25,72.05
2019-08-29 12:00:02.034658,22.5625,72.6125
2019-08-29 12:10:01.895118,22.3125,72.1625
2019-08-29 12:20:01.740808,22.625,72.725
2019-08-29 12:30:01.475463,22.5,72.5
2019-08-29 12:40:02.286164,22.5625,72.6125
2019-08-29 12:50:02.045611,22.5,72.5
2019-08-29 13:00:01.797779,22.3125,72.1625
2019-08-29 13:10:01.619559,22.5625,72.6125
2019-08-29 13:20:01.498413,22.4375,72.3875
2019-08-29 13:30:02.226686,22.5625,72.6125
2019-08-29 13:40:02.056153,22.25,72.05
2019-08-29 13:50:01.819977,22.375,72.275
2019-08-29 14:00:01.613719,22.125,71.825
2019-08-29 14:10:01.397093,22.0,71.6
2019-08-29 14:20:02.243012,22.125,71.825
2019-08-29 14:30:01.985697,22.0,71.6
2019-08-29 14:40:01.841860,22.0625,71.7125
2019-08-29 14:50:01.628635,22.0625,71.7125
2019-08-29 15:00:01.345256,22.0,71.6
2019-08-29 15:10:02.160659,22.125,71.825
2019-08-29 15:20:01.962901,22.25,72.05
2019-08-29 15:30:01.689203,22.375,72.275
2019-08-29 15:40:01.499394,22.5625,72.6125
2019-08-29 15:50:02.264362,22.875,73.175
2019-08-29 16:00:02.055920,23.25,73.85
2019-08-29 16:10:01.870741,23.625,74.525
2019-08-29 16:20:01.707753,23.75,74.75
2019-08-29 16:30:01.481145,23.9375,75.0875
2019-08-29 16:40:02.280922,23.75,74.75
2019-08-29 16:50:02.019475,23.9375,75.0875
2019-08-29 17:00:01.740973,24.1875,75.5375
2019-08-29 17:10:01.552337,24.0625,75.3125
2019-08-29 17:20:01.401144,24.125,75.425
2019-08-29 17:30:02.214882,24.1875,75.5375
2019-08-29 17:40:02.021147,24.1875,75.5375
2019-08-29 17:50:01.781995,24.375,75.875
2019-08-29 18:00:01.518695,24.25,75.65
2019-08-29 18:10:02.304431,24.0,75.2
2019-08-29 18:20:02.108609,23.875,74.975
2019-08-29 18:30:01.872844,23.75,74.75
